Indicator.,CountryCode,Country,Representativeness.,Representativeness name,Area covered,Date,Begin month,Begin year,End month,End year,Population,Gender,Age unit,Age from,Age to,Sample size,Indicator unit,Mean,Geo mean,Median,SD,SE,L95CI,U95CI,Deficiency cut-off,Deficiency prevalence,Insufficiency cut-off,Insufficiency prevalence,Sample collection method,Sample type,Fasting,Method of analysis,General data comments,Indicator comments,Survey methodology,Season,Old Reference no# 1,Reference no# 1,Reference 1,Link to reference 1,Old Reference no# 2,Reference no# 2,Reference 2,Link to reference 2,Old Reference no# 3,Reference no# 3,Reference 3,Link to reference 3,SurveyId,Survey status
25-Hydroxyvitamin D,AUS,Australia,1st administration level,New South Wales,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,1563,nmol/L,64.7,,65,,,,,<30 nmol/L,8.3,<50 mnol/L,26.9,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"All seasons. Upper bound of age range not provided (over 75 years). Sample size for prevalence as noted above. Sample size for mean, median and IR = 1540. Prevalence 30-49 nmol/L = 18.6%","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,1st administration level,Northern Territory,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,505,nmol/L,73.9,,71,,,,,<30 nmol/L,1.1,<50 mnol/L,13.1,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"All seasons. Upper bound of age range not provided (over 75 years). Prevalence 30-49 nmol/L = 12.0%. Sample size for prevalence as noted above. Sample size for mean, median and IR = 494. Prevalence estimate for deficiency vitamin D status has a relative standard error of 25% to 50% and should be used with caution.","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,1st administration level,Queensland,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,1650,nmol/L,72.9,,71,,,,,<30 nmol/L,1.8,<50 mnol/L,11.2,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"All seasons. Upper bound of age range not provided (over 75 years). Sample size for prevalence as noted above. Sample size for mean, median and IR = 1620. Prevalence 30-49 nmol/L = 9.3%","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,1st administration level,South Australia,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,1196,nmol/L,62.8,,62,,,,,<30 nmol/L,6.1,<50 mnol/L,26.7,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"All seasons. Upper bound of age range not provided (over 75 years). Sample size for prevalence as noted above. Sample size for mean, median and IR = 1180. Prevalence 30-49 nmol/L = 20.6%.","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,1st administration level,Tasmania,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,1135,nmol/L,64.6,,65,,,,,<30 nmol/L,5.8,<50 mnol/L,24.6,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"All seasons. Upper bound of age range not provided (over 75 years). Sample size for prevalence as noted above. Sample size for mean, median and IR = 1111. Prevalence 30-49 nmol/L = 18.8%","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,1st administration level,Victoria,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,1292,nmol/L,60.6,,60,,,,,<30 nmol/L,9.2,<50 mnol/L,30.7,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"All seasons. Upper bound of age range not provided (over 75 years). Sample size for prevalence as noted above. Sample size for mean, median and IR = 1267. Prevalence 30-49 nmol/L = 21.4%.","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,1st administration level,Western Australia,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,1317,nmol/L,70.2,,69,,,,,<30 nmol/L,3.4,<50 mnol/L,16,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"All seasons. Upper bound of age range not provided (over 75 years). Sample size for prevalence as noted above. Sample size for mean, median and IR = 1288. Prevalence 30-49 nmol/L = 12.7%.","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adolescents,All,Year,12,17,839,nmol/L,69,,65,,,,,<30 nmol/L,3.1,<50 nmol/L,15.4,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Sample size for prevalence as noted above. Sample size for mean, median, IR = 738. 
Prevalence 30-49 nmol/L = 12.3%","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,1506,,,,,,,,,,,<50 mnol/L,30.5,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Spring (September, October, November). Upper bound of age range not provided (over 75 years).","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,2410,,,,,,,,,,,<50 nmol/L,14.3,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Summer (December, January, February). Upper bound of age range not provided (over 75 years).","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,2416,,,,,,,,,,,<50 mnol/L,36,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Winter (June, July, August). Upper bound of age range not provided (over 75 years).","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,3232,,,,,,,,,,,<50 mnol/L,16.8,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Autumn (March, April, May). Upper bound of age range not provided (over 75 years).","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,9564,nmol/L,65.7,,66,,,,,<30 nmol/L,6.5,<50 mnol/L,23.5,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"All seasons. Upper bound of age range not provided (over 75 years). Sample size for prevalence noted above. Sample size for mean, median and IR = 9383. 
Prevalence 30-49 nmol/L = 17%","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,24,445,nmol/L,64.2,,64,,,,,<30 nmol/L,11.6,<50 mnol/L,31.1,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Prevalence 30-49 nmol/L = 19.4%. Sample size for prevalence noted above. Sample size for mean, median and IR = 428.","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,25,34,1261,nmol/L,62.1,,61,,,,,<30 nmol/L,10.8,<50 mnol/L,30.8,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Prevalence 30-49 nmol/L = 20.0%. Sample size for prevalence noted above. Sample size for mean, median and IR = 1226.","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,35,44,1656,nmol/L,64.5,,65,,,,,<30 nmol/L,6.9,<50 mnol/L,22.9,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Prevalence 30-49 nmol/L = 16.1%. Sample size for prevalence noted above. Sample size of mean, median and IR = 1620.","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,45,54,1863,nmol/L,65.8,,66,,,,,<30 nmol/L,4.5,<50 mnol/L,21.6,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Prevalence 30-49 nmol/L = 17.2%. Sample size for prevalence as noted above. Sample size for mean, median and IR = 1836.","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,55,64,1942,nmol/L,68.9,,68,,,,,<30 nmol/L,2.4,<50 mnol/L,17.5,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Prevalence 30-49 nmol/L = 15.1%. Sample size for prevalence as noted above. Sample size mean, median and IR = 1914.","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
25-Hydroxyvitamin D,AUS,Australia,national,,both urban and rural,2012,3,2011,9,2012,Adults,Female,Year,18,,5312,nmol/L,66.2,,66,,,,,<30 nmol/L,6.4,<50 mnol/L,22.7,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"Upper bound of age range not provided (over 75 years). Sample size for prevalence as noted above. Sample size for mean, median and IR = 5204. Prevalence 30-49 nmol/L = 16.3%","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
